ES916081997,"OPTICA ROEN AVDA. OBISPO PEREZ CACERES, 3   Sta. Cruz de Tenerife 38500 Spain",28.3155084,-16.4100269
ES916085830,"OPTICA JIMENEZ   SUIZA, 22   Madrid 28943 Spain",46.818188,8.227512
ES916109124,"CENTRO OPTICO LORCA AVDA. PORTUGAL, 13   Madrid 28921 Spain",40.4157551,-3.72557
ES916113029,"CENTRO OPTICO EO VISION AVDA. LIBERTAD, 13   Madrid 28917 Spain",40.3587338,-3.7804381
ES916125346,"DICA OPTICA PORTOCRISTO, 1   Madrid 28924 Spain",39.5441348,3.3368181
ES916137399,"OPTICA GALEI AVDA DOS DE MAYO 7   Madrid 28934 Spain",40.3206399,-3.8669869
ES916157187,"DELTA OPTICOS AVDA. DE LAS PROVINCIAS, 29   Madrid 28941 Spain",40.2972061,-3.8022431
ES916189652,"OPTICA AZORIN AZORIN, 9   Madrid 28935 Spain",40.3141928,-3.9164585
ES916195874,"OPTICA GOMEZ COBO PORTOCRISTO, 6   Madrid 28924 Spain",39.5441348,3.3368181
ES916200424,"GRUPO GALILEO CEUTA PLAZA MAESTRANZA   Ceuta 51001 Spain",35.8912103,-5.3018971
ES916336697,"NATURAOPTICOS AV.INDEPENDENCIA, PORTAL 1   Málaga 29600 Spain",36.5154127,-4.9198949
ES916363214,"EURO-OPTICA Mª JOSE RUBIO CONSTITUCION, 4   Madrid 28230 Spain",40.4167754,-3.7037902
ES916382222,"FARMACIA OPTICA FARMA & CO CTRA BOADILLA S/N ESQ  GOLETA   Madrid 28220 Spain",40.4595626,-3.8727005
ES916382697,"OPTICA BILENS AVDA. CLAVELES, 74   Madrid 28221 Spain",40.4743443,-3.8592871
ES916460923,"OPTICA MADRID CAMINO LEGANES, 42   Madrid 28936 Spain",40.3237741,-3.8521783
ES916494952,"CENTRO OPTICO EMBAJADORES EMBAJADORES, 181A, LOCAL 5   Madrid 28045 Spain",40.3911909,-3.6925733
ES916527518,"OPTIFATIMA  GOBERNADOR 1   Madrid 28100 Spain",40.4167754,-3.7037902
ES916539116,"J.M. GASPAR   REAL, 10   Madrid 28703 Spain",40.540875,-3.5939254
ES916569938,"OPTICA LA ZARZUELA AVDA. CRISTOBAL COLON, Nº10   Madrid 28850 Spain",40.4645531,-3.4480736
ES916643449,"OPTICA PRISMA VISION ALFONSO XII, 35   Madrid 28934 Spain",40.4167754,-3.7037902
ES916657829,"OPTICA VISION-65 DE LAS ERAS, 65   Madrid 28670 Spain",40.3542644,-3.9368439
ES916667977,"CENTRO OPTICO SANTA MONICA ALOE, 14   Madrid 28529 Spain",40.4167754,-3.7037902
ES916710104,"CENTRO OPTICO GARRO   MEXICO, 1   Madrid 28822 Spain",23.634501,-102.552784
ES916710842,"FARMACIA ANGEL SANCHEZ AV. SAN PABLO 11   Madrid 28823 Spain",40.44157,-3.5322655
